municipality_code,municipality,year,population
0562,Finspång,2023,21694
0563,Valdemarsvik,2023,7541
0580,Linköping,2023,167404
0581,Norrköping,2023,145163
0582,Söderköping,2023,14867
0583,Motala,2023,43728
0584,Vadstena,2023,7434
0586,Mjölby,2023,28576
0604,Aneby,2023,6852
0617,Gnosjö,2023,9246
0642,Mullsjö,2023,7577
0643,Habo,2023,13275
0662,Gislaved,2023,29014
0665,Vaggeryd,2023,14811
0680,Jönköping,2023,146161
0682,Nässjö,2023,31648
0683,Värnamo,2023,34601
0684,Sävsjö,2023,11668
0685,Vetlanda,2023,27498
0686,Eksjö,2023,17750
0687,Tranås,2023,18755
0760,Uppvidinge,2023,9263
0761,Lessebo,2023,8342
0763,Tingsryd,2023,12155
0764,Alvesta,2023,20040
0765,Älmhult,2023,17932
0767,Markaryd,2023,10076
0780,Växjö,2023,97574
0781,Ljungby,2023,28304
0821,Högsby,2023,5438
0834,Torsås,2023,7002
0840,Mörbylånga,2023,16144
0860,Hultsfred,2023,13883
0861,Mönsterås,2023,13134
0862,Emmaboda,2023,9056
0880,Kalmar,2023,72304
0881,Nybro,2023,20145
0882,Oskarshamn,2023,26918
0883,Västervik,2023,36434
0884,Vimmerby,2023,15461
0885,Borgholm,2023,10748
0980,Gotland,2023,61029
1060,Olofström,2023,13061
1080,Karlskrona,2023,66420
1081,Ronneby,2023,29021
1082,Karlshamn,2023,31996
1083,Sölvesborg,2023,17475
1214,Svalöv,2023,14544
1230,Staffanstorp,2023,27152
1231,Burlöv,2023,19844
1233,Vellinge,2023,37738
1256,Östra Göinge,2023,14331
1257,Örkelljunga,2023,10433
1260,Bjuv,2023,15968
1261,Kävlinge,2023,32430
1262,Lomma,2023,24627
1263,Svedala,2023,23470
1264,Skurup,2023,16861
1265,Sjöbo,2023,19437
1266,Hörby,2023,15585
1267,Höör,2023,17376
1270,Tomelilla,2023,13660
1272,Bromölla,2023,12498
1273,Osby,2023,13106
1275,Perstorp,2023,7323
1276,Klippan,2023,17723
1277,Åstorp,2023,16458
1278,Båstad,2023,15912
1280,Malmö,2023,362133
1281,Lund,2023,130288
1282,Landskrona,2023,47134
1283,Helsingborg,2023,151306
1284,Höganäs,2023,28193
1285,Eslöv,2023,34775
1286,Ystad,2023,31911
1287,Trelleborg,2023,46936
1290,Kristianstad,2023,86560
1291,Simrishamn,2023,18962
1292,Ängelholm,2023,44866
1293,Hässleholm,2023,52241
1315,Hylte,2023,10299
1380,Halmstad,2023,105796
1381,Laholm,2023,26565
1382,Falkenberg,2023,47108
1383,Varberg,2023,68325
1384,Kungsbacka,2023,85653
1401,Härryda,2023,39875
1402,Partille,2023,40730
1407,Öckerö,2023,12819
1415,Stenungsund,2023,27862
1419,Tjörn,2023,16146
1421,Orust,2023,15333
1427,Sotenäs,2023,9052
1430,Munkedal,2023,10502
1435,Tanum,2023,12865
1438,Dals-Ed,2023,4606
1439,Färgelanda,2023,6434
1440,Ale,2023,32446
1441,Lerum,2023,43706
1442,Vårgårda,2023,12384
1443,Bollebygd,2023,9733
1444,Grästorp,2023,5563
1445,Essunga,2023,5656
1446,Karlsborg,2023,7061
1447,Gullspång,2023,5119
1452,Tranemo,2023,11883
1460,Bengtsfors,2023,9138
1461,Mellerud,2023,9165
1462,Lilla Edet,2023,14426
1463,Mark,2023,35287
1465,Svenljunga,2023,10759
1466,Herrljunga,2023,9441
1470,Vara,2023,16066
1471,Götene,2023,13218
1472,Tibro,2023,11332
1473,Töreboda,2023,9141
1480,Göteborg,2023,604616
1481,Mölndal,2023,70534
1482,Kungälv,2023,49785
1484,Lysekil,2023,13969
1485,Uddevalla,2023,57045
1486,Strömstad,2023,13476
1487,Vänersborg,2023,40012
1488,Trollhättan,2023,59073
1489,Alingsås,2023,42382
1490,Borås,2023,114592
1491,Ulricehamn,2023,25087
1492,Åmål,2023,12006
1493,Mariestad,2023,24647
1494,Lidköping,2023,40539
1495,Skara,2023,18654
1496,Skövde,2023,57763
1497,Hjo,2023,9258
1498,Tidaholm,2023,12839
1499,Falköping,2023,32991
1715,Kil,2023,12085
1730,Eda,2023,8499
1737,Torsby,2023,11387
1760,Storfors,2023,3801
1761,Hammarö,2023,16940
1762,Munkfors,2023,3669
1763,Forshaga,2023,11538
1764,Grums,2023,9057
1765,Årjäng,2023,9893
1766,Sunne,2023,13366
1780,Karlstad,2023,97233
1781,Kristinehamn,2023,23817
1782,Filipstad,2023,10034
1783,Hagfors,2023,11536
1784,Arvika,2023,25682
1785,Säffle,2023,15011
1814,Lekeberg,2023,8606
1860,Laxå,2023,5497
1861,Hallsberg,2023,16232
1862,Degerfors,2023,9357
1863,Hällefors,2023,6495
1864,Ljusnarsberg,2023,4407
1880,Örebro,2023,159348
1881,Kumla,2023,22516
1882,Askersund,2023,11478
1883,Karlskoga,2023,30261
1884,Nora,2023,10627
1885,Lindesberg,2023,23292
1904,Skinnskatteberg,2023,4348
1907,Surahammar,2023,9934
1960,Kungsör,2023,8643
1961,Hallstahammar,2023,16654
1962,Norberg,2023,5517
1980,Västerås,2023,159662
1981,Sala,2023,22853
1982,Fagersta,2023,13222
1983,Köping,2023,25978
1984,Arboga,2023,14002
2021,Vansbro,2023,6728
2023,Malung-Sälen,2023,10260
2026,Gagnef,2023,10430
2029,Leksand,2023,16043
2031,Rättvik,2023,11042
2034,Orsa,2023,6908
2039,Älvdalen,2023,6929
2061,Smedjebacken,2023,10913
2062,Mora,2023,20536
2080,Falun,2023,59986
2081,Borlänge,2023,51735
2082,Säter,2023,11243
2083,Hedemora,2023,15345
2084,Avesta,2023,22753
2085,Ludvika,2023,26402
2101,Ockelbo,2023,5758
2104,Hofors,2023,9374
2121,Ovanåker,2023,11525
2132,Nordanstig,2023,9370
2161,Ljusdal,2023,18538
2180,Gävle,2023,103532
2181,Sandviken,2023,38628
2182,Söderhamn,2023,24858
2183,Bollnäs,2023,26414
2184,Hudiksvall,2023,37645
2260,Ånge,2023,9109
2262,Timrå,2023,17540
2280,Härnösand,2023,24654
2281,Sundsvall,2023,99213
2282,Kramfors,2023,17631
2283,Sollefteå,2023,18523
2284,Örnsköldsvik,2023,55478
2303,Ragunda,2023,5135
2305,Bräcke,2023,6099
2309,Krokom,2023,15595
2313,Strömsund,2023,11113
2321,Åre,2023,12464
2326,Berg,2023,7140
2361,Härjedalen,2023,10145
2380,Östersund,2023,64881
2401,Nordmaling,2023,7033
2403,Bjurholm,2023,2348
2404,Vindeln,2023,5461
2409,Robertsfors,2023,6740
2417,Norsjö,2023,3924
2418,Malå,2023,2990
2421,Storuman,2023,5621
2422,Sorsele,2023,2387
2425,Dorotea,2023,2339
2460,Vännäs,2023,9059
2462,Vilhelmina,2023,6263
2463,Åsele,2023,2718
2480,Umeå,2023,133091
2481,Lycksele,2023,12213
2482,Skellefteå,2023,76542
2505,Arvidsjaur,2023,6113
2506,Arjeplog,2023,2609
2510,Jokkmokk,2023,4728
2513,Överkalix,2023,3162
2514,Kalix,2023,15547
2518,Övertorneå,2023,4088
2521,Pajala,2023,5871
2523,Gällivare,2023,17330
2560,Älvsbyn,2023,7783
2580,Luleå,2023,79352
2581,Piteå,2023,42344
2582,Boden,2023,27943
2583,Haparanda,2023,9177
2584,Kiruna,2023,22433
0114,Upplands Väsby,2024,50323
0115,Vallentuna,2024,35119
0117,Österåker,2024,49787
0120,Värmdö,2024,46635
0123,Järfälla,2024,88950
0125,Ekerö,2024,28910
0126,Huddinge,2024,114304
0127,Botkyrka,2024,95905
0128,Salem,2024,17507
0136,Haninge,2024,100895
0138,Tyresö,2024,49179
0139,Upplands-Bro,2024,32868
0140,Nykvarn,2024,12342
0160,Täby,2024,77744
0162,Danderyd,2024,32425
0163,Sollentuna,2024,77624
0180,Stockholm,2024,995574
0181,Södertälje,2024,102911
0182,Nacka,2024,112112
0183,Sundbyberg,2024,56274
0184,Solna,2024,85789
0186,Lidingö,2024,48377
0187,Vaxholm,2024,11822
0188,Norrtälje,2024,66585
0191,Sigtuna,2024,52767
0192,Nynäshamn,2024,30579
0305,Håbo,2024,22973
0319,Älvkarleby,2024,9552
0330,Knivsta,2024,21193
0331,Heby,2024,14345
0360,Tierp,2024,21104
0380,Uppsala,2024,248016
0381,Enköping,2024,48591
0382,Östhammar,2024,22138
0428,Vingåker,2024,8750
0461,Gnesta,2024,11458
0480,Nyköping,2024,58344
0481,Oxelösund,2024,12031
0482,Flen,2024,15362
0483,Katrineholm,2024,34154
0484,Eskilstuna,2024,107203
0486,Strängnäs,2024,39313
0488,Trosa,2024,14927
0509,Ödeshög,2024,5237
0512,Ydre,2024,3626
0513,Kinda,2024,9957
0560,Boxholm,2024,5517
0561,Åtvidaberg,2024,11467
0562,Finspång,2024,21623
0563,Valdemarsvik,2024,7525
0580,Linköping,2024,168035
0581,Norrköping,2024,144980
0582,Söderköping,2024,14789
0583,Motala,2024,43505
0584,Vadstena,2024,7490
0586,Mjölby,2024,28695
0604,Aneby,2024,6797
0617,Gnosjö,2024,9131
0642,Mullsjö,2024,7594
0643,Habo,2024,13456
0662,Gislaved,2024,28936
0665,Vaggeryd,2024,14825
0680,Jönköping,2024,147654
0682,Nässjö,2024,31587
0683,Värnamo,2024,34542
0684,Sävsjö,2024,11563
0685,Vetlanda,2024,27528
0686,Eksjö,2024,17792
0687,Tranås,2024,18604
0760,Uppvidinge,2024,9061
0761,Lessebo,2024,8289
0763,Tingsryd,2024,11966
0764,Alvesta,2024,19830
0765,Älmhult,2024,17653
0767,Markaryd,2024,9938
0780,Växjö,2024,98334
0781,Ljungby,2024,28280
0821,Högsby,2024,5321
0834,Torsås,2024,6984
0840,Mörbylånga,2024,16224
0860,Hultsfred,2024,13673
0861,Mönsterås,2024,13069
0862,Emmaboda,2024,9006
0880,Kalmar,2024,72704
0881,Nybro,2024,19951
0882,Oskarshamn,2024,26923
0883,Västervik,2024,36447
0884,Vimmerby,2024,15384
0885,Borgholm,2024,10666
0980,Gotland,2024,60971
1060,Olofström,2024,13000
1080,Karlskrona,2024,66301
1081,Ronneby,2024,28741
1082,Karlshamn,2024,31751
1083,Sölvesborg,2024,17430
1214,Svalöv,2024,14543
1230,Staffanstorp,2024,27303
1231,Burlöv,2024,20101
1233,Vellinge,2024,37816
1256,Östra Göinge,2024,13978
1257,Örkelljunga,2024,10277
1260,Bjuv,2024,15985
1261,Kävlinge,2024,32477
1262,Lomma,2024,24715
1263,Svedala,2024,23581
1264,Skurup,2024,17099
1265,Sjöbo,2024,19337
1266,Hörby,2024,15562
1267,Höör,2024,17518
1270,Tomelilla,2024,13639
1272,Bromölla,2024,12470
1273,Osby,2024,12947
1275,Perstorp,2024,7235
1276,Klippan,2024,17714
1277,Åstorp,2024,16449
1278,Båstad,2024,16026
1280,Malmö,2024,365644
1281,Lund,2024,131590
1282,Landskrona,2024,47309
1283,Helsingborg,2024,152091
1284,Höganäs,2024,28430
1285,Eslöv,2024,34922
1286,Ystad,2024,32106
1287,Trelleborg,2024,47269
1290,Kristianstad,2024,86379
1291,Simrishamn,2024,18890
1292,Ängelholm,2024,45110
1293,Hässleholm,2024,52114
1315,Hylte,2024,10196
1380,Halmstad,2024,106084
1381,Laholm,2024,26595
1382,Falkenberg,2024,47337
1383,Varberg,2024,69070
1384,Kungsbacka,2024,85792
1401,Härryda,2024,40003
1402,Partille,2024,41060
1407,Öckerö,2024,12771
1415,Stenungsund,2024,27851
1419,Tjörn,2024,16092
1421,Orust,2024,15352
1427,Sotenäs,2024,9104
1430,Munkedal,2024,10354
1435,Tanum,2024,12773
1438,Dals-Ed,2024,4606
1439,Färgelanda,2024,6376
1440,Ale,2024,32576
1441,Lerum,2024,43570
1442,Vårgårda,2024,12474
1443,Bollebygd,2024,9802
1444,Grästorp,2024,5555
1445,Essunga,2024,5560
1446,Karlsborg,2024,7023
1447,Gullspång,2024,5031
1452,Tranemo,2024,11839
1460,Bengtsfors,2024,9076
1461,Mellerud,2024,9052
1462,Lilla Edet,2024,14442
1463,Mark,2024,35155
1465,Svenljunga,2024,10747
1466,Herrljunga,2024,9497
1470,Vara,2024,16088
1471,Götene,2024,13286
1472,Tibro,2024,11338
1473,Töreboda,2024,9043
1480,Göteborg,2024,608993
1481,Mölndal,2024,71420
1482,Kungälv,2024,50313
1484,Lysekil,2024,13907
1485,Uddevalla,2024,57010
1486,Strömstad,2024,13482
1487,Vänersborg,2024,40041
1488,Trollhättan,2024,59003
1489,Alingsås,2024,42722
1490,Borås,2024,114872
1491,Ulricehamn,2024,24985
1492,Åmål,2024,11906
1493,Mariestad,2024,24583
1494,Lidköping,2024,40425
1495,Skara,2024,18707
1496,Skövde,2024,57995
1497,Hjo,2024,9350
1498,Tidaholm,2024,12805
1499,Falköping,2024,32806
1715,Kil,2024,12061
1730,Eda,2024,8412
1737,Torsby,2024,11321
1760,Storfors,2024,3788
1761,Hammarö,2024,16992
1762,Munkfors,2024,3625
1763,Forshaga,2024,11520
1764,Grums,2024,9004
1765,Årjäng,2024,9825
1766,Sunne,2024,13356
1780,Karlstad,2024,98084
1781,Kristinehamn,2024,23756
1782,Filipstad,2024,9776
1783,Hagfors,2024,11418
1784,Arvika,2024,25547
1785,Säffle,2024,14899
1814,Lekeberg,2024,8606
1860,Laxå,2024,5423
1861,Hallsberg,2024,16120
1862,Degerfors,2024,9278
1863,Hällefors,2024,6321
1864,Ljusnarsberg,2024,4369
1880,Örebro,2024,160140
1881,Kumla,2024,22681
1882,Askersund,2024,11477
1883,Karlskoga,2024,30180
1884,Nora,2024,10639
1885,Lindesberg,2024,23141
1904,Skinnskatteberg,2024,4256
1907,Surahammar,2024,9845
1960,Kungsör,2024,8694
1961,Hallstahammar,2024,16653
1962,Norberg,2024,5452
1980,Västerås,2024,160634
1981,Sala,2024,22843
1982,Fagersta,2024,13072
1983,Köping,2024,25729
1984,Arboga,2024,13980
2021,Vansbro,2024,6752
2023,Malung-Sälen,2024,10254
2026,Gagnef,2024,10384
2029,Leksand,2024,16137
2031,Rättvik,2024,10998
2034,Orsa,2024,6851
2039,Älvdalen,2024,6882
2061,Smedjebacken,2024,10823
2062,Mora,2024,20540
2080,Falun,2024,59945
2081,Borlänge,2024,51425
2082,Säter,2024,11223
2083,Hedemora,2024,15281
2084,Avesta,2024,22417
2085,Ludvika,2024,26634
2101,Ockelbo,2024,5715
2104,Hofors,2024,9281
2121,Ovanåker,2024,11341
2132,Nordanstig,2024,9262
2161,Ljusdal,2024,18445
2180,Gävle,2024,103838
2181,Sandviken,2024,38360
2182,Söderhamn,2024,24545
2183,Bollnäs,2024,26243
2184,Hudiksvall,2024,37528
2260,Ånge,2024,9044
2262,Timrå,2024,17521
2280,Härnösand,2024,24515
2281,Sundsvall,2024,99048
2282,Kramfors,2024,17491
2283,Sollefteå,2024,18396
2284,Örnsköldsvik,2024,55443
2303,Ragunda,2024,5146
2305,Bräcke,2024,6035
2309,Krokom,2024,15680
2313,Strömsund,2024,11023
2321,Åre,2024,12693
2326,Berg,2024,7108
2361,Härjedalen,2024,10175
2380,Östersund,2024,64979
2401,Nordmaling,2024,6942
2403,Bjurholm,2024,2359
2404,Vindeln,2024,5417
2409,Robertsfors,2024,6690
2417,Norsjö,2024,3968
2418,Malå,2024,2962
2421,Storuman,2024,5577
2422,Sorsele,2024,2357
2425,Dorotea,2024,2294
2460,Vännäs,2024,9132
2462,Vilhelmina,2024,6229
2463,Åsele,2024,2694
2480,Umeå,2024,134249
2481,Lycksele,2024,12118
2482,Skellefteå,2024,78150
2505,Arvidsjaur,2024,6089
2506,Arjeplog,2024,2599
2510,Jokkmokk,2024,4701
2513,Överkalix,2024,3201
2514,Kalix,2024,15391
2518,Övertorneå,2024,4057
2521,Pajala,2024,5857
2523,Gällivare,2024,17233
2560,Älvsbyn,2024,7774
2580,Luleå,2024,79645
2581,Piteå,2024,42447
2582,Boden,2024,28049
2583,Haparanda,2024,9151
2584,Kiruna,2024,22426
0114,Upplands Väsby,2025,50495
0115,Vallentuna,2025,35361
0117,Österåker,2025,49943
0120,Värmdö,2025,46601
0123,Järfälla,2025,90180
0125,Ekerö,2025,29062
0126,Huddinge,2025,114686
0127,Botkyrka,2025,96750
0128,Salem,2025,17370
0136,Haninge,2025,101408
0138,Tyresö,2025,49645
0139,Upplands-Bro,2025,33333
0140,Nykvarn,2025,12384
0160,Täby,2025,78514
0162,Danderyd,2025,32500
0163,Sollentuna,2025,78033
0180,Stockholm,2025,999239
0181,Södertälje,2025,102772
0182,Nacka,2025,113730
0183,Sundbyberg,2025,57000
0184,Solna,2025,86435
0186,Lidingö,2025,48369
0187,Vaxholm,2025,11636
0188,Norrtälje,2025,66832
0191,Sigtuna,2025,53365
0192,Nynäshamn,2025,30610
0305,Håbo,2025,23252
0319,Älvkarleby,2025,9573
0330,Knivsta,2025,21733
0331,Heby,2025,14275
0360,Tierp,2025,21028
0380,Uppsala,2025,249726
0381,Enköping,2025,48804
0382,Östhammar,2025,22181
0428,Vingåker,2025,8666
0461,Gnesta,2025,11343
0480,Nyköping,2025,58310
0481,Oxelösund,2025,11962
0482,Flen,2025,15095
0483,Katrineholm,2025,33984
0484,Eskilstuna,2025,106789
0486,Strängnäs,2025,39387
0488,Trosa,2025,14900
0509,Ödeshög,2025,5221
0512,Ydre,2025,3619
0513,Kinda,2025,9924
0560,Boxholm,2025,5451
0561,Åtvidaberg,2025,11490
0562,Finspång,2025,21502
0563,Valdemarsvik,2025,7526
0580,Linköping,2025,168714
0581,Norrköping,2025,144904
0582,Söderköping,2025,14741
0583,Motala,2025,43131
0584,Vadstena,2025,7484
0586,Mjölby,2025,28823
0604,Aneby,2025,6851
0617,Gnosjö,2025,9010
0642,Mullsjö,2025,7546
0643,Habo,2025,13511
0662,Gislaved,2025,28641
0665,Vaggeryd,2025,14943
0680,Jönköping,2025,148152
0682,Nässjö,2025,31474
0683,Värnamo,2025,34534
0684,Sävsjö,2025,11531
0685,Vetlanda,2025,27313
0686,Eksjö,2025,17660
0687,Tranås,2025,18555
0760,Uppvidinge,2025,8911
0761,Lessebo,2025,8115
0763,Tingsryd,2025,11896
0764,Alvesta,2025,19687
0765,Älmhult,2025,17579
0767,Markaryd,2025,9862
0780,Växjö,2025,98940
0781,Ljungby,2025,28132
0821,Högsby,2025,5134
0834,Torsås,2025,6919
0840,Mörbylånga,2025,16306
0860,Hultsfred,2025,13484
0861,Mönsterås,2025,12978
0862,Emmaboda,2025,8807
0880,Kalmar,2025,73068
0881,Nybro,2025,19803
0882,Oskarshamn,2025,26762
0883,Västervik,2025,36269
0884,Vimmerby,2025,15327
0885,Borgholm,2025,10626
0980,Gotland,2025,60852
1060,Olofström,2025,12844
1080,Karlskrona,2025,66021
1081,Ronneby,2025,28708
1082,Karlshamn,2025,31642
1083,Sölvesborg,2025,17405
1214,Svalöv,2025,14474
1230,Staffanstorp,2025,27482
1231,Burlöv,2025,20444
1233,Vellinge,2025,37833
1256,Östra Göinge,2025,13718
1257,Örkelljunga,2025,10293
1260,Bjuv,2025,16052
1261,Kävlinge,2025,32655
1262,Lomma,2025,24677
1263,Svedala,2025,23714
1264,Skurup,2025,17139
1265,Sjöbo,2025,19397
1266,Hörby,2025,15559
1267,Höör,2025,17680
1270,Tomelilla,2025,13669
1272,Bromölla,2025,12497
1273,Osby,2025,12861
1275,Perstorp,2025,7115
1276,Klippan,2025,17713
1277,Åstorp,2025,16491
1278,Båstad,2025,16046
1280,Malmö,2025,367924
1281,Lund,2025,132333
1282,Landskrona,2025,47571
1283,Helsingborg,2025,152776
1284,Höganäs,2025,28489
1285,Eslöv,2025,35126
1286,Ystad,2025,32188
1287,Trelleborg,2025,47405
1290,Kristianstad,2025,85908
1291,Simrishamn,2025,18779
1292,Ängelholm,2025,45159
1293,Hässleholm,2025,51915
1315,Hylte,2025,10094
1380,Halmstad,2025,106315
1381,Laholm,2025,26565
1382,Falkenberg,2025,47321
1383,Varberg,2025,69460
1384,Kungsbacka,2025,86332
1401,Härryda,2025,40011
1402,Partille,2025,41164
1407,Öckerö,2025,12863
1415,Stenungsund,2025,27854
1419,Tjörn,2025,16003
1421,Orust,2025,15363
1427,Sotenäs,2025,9036
1430,Munkedal,2025,10272
1435,Tanum,2025,12677
1438,Dals-Ed,2025,4571
1439,Färgelanda,2025,6288
1440,Ale,2025,32620
1441,Lerum,2025,43752
1442,Vårgårda,2025,12472
1443,Bollebygd,2025,9784
1444,Grästorp,2025,5602
1445,Essunga,2025,5559
1446,Karlsborg,2025,7047
1447,Gullspång,2025,4949
1452,Tranemo,2025,11873
1460,Bengtsfors,2025,8955
1461,Mellerud,2025,9038
1462,Lilla Edet,2025,14398
1463,Mark,2025,35134
1465,Svenljunga,2025,10616
1466,Herrljunga,2025,9509
1470,Vara,2025,16011
1471,Götene,2025,13223
1472,Tibro,2025,11326
1473,Töreboda,2025,9093
1480,Göteborg,2025,613278
1481,Mölndal,2025,72128
1482,Kungälv,2025,50496
1484,Lysekil,2025,13796
1485,Uddevalla,2025,56744
1486,Strömstad,2025,13557
1487,Vänersborg,2025,40078
1488,Trollhättan,2025,59265
1489,Alingsås,2025,42861
1490,Borås,2025,115238
1491,Ulricehamn,2025,24954
1492,Åmål,2025,11679
1493,Mariestad,2025,24421
1494,Lidköping,2025,40359
1495,Skara,2025,18753
1496,Skövde,2025,58272
1497,Hjo,2025,9322
1498,Tidaholm,2025,12736
1499,Falköping,2025,32794
1715,Kil,2025,12024
1730,Eda,2025,8289
1737,Torsby,2025,11278
1760,Storfors,2025,3777
1761,Hammarö,2025,16932
1762,Munkfors,2025,3637
1763,Forshaga,2025,11439
1764,Grums,2025,8854
1765,Årjäng,2025,9734
1766,Sunne,2025,13354
1780,Karlstad,2025,99007
1781,Kristinehamn,2025,23590
1782,Filipstad,2025,9625
1783,Hagfors,2025,11324
1784,Arvika,2025,25408
1785,Säffle,2025,14756
1814,Lekeberg,2025,8608
1860,Laxå,2025,5397
1861,Hallsberg,2025,16082
1862,Degerfors,2025,9237
1863,Hällefors,2025,6269
1864,Ljusnarsberg,2025,4290
1880,Örebro,2025,160687
1881,Kumla,2025,22665
1882,Askersund,2025,11382
1883,Karlskoga,2025,30128
1884,Nora,2025,10603
1885,Lindesberg,2025,23014
1904,Skinnskatteberg,2025,4234
1907,Surahammar,2025,9733
1960,Kungsör,2025,8550
1961,Hallstahammar,2025,16600
1962,Norberg,2025,5351
1980,Västerås,2025,161240
1981,Sala,2025,22600
1982,Fagersta,2025,12915
1983,Köping,2025,25610
1984,Arboga,2025,13929
2021,Vansbro,2025,6741
2023,Malung-Sälen,2025,10192
2026,Gagnef,2025,10307
2029,Leksand,2025,16167
2031,Rättvik,2025,10978
2034,Orsa,2025,6902
2039,Älvdalen,2025,6831
2061,Smedjebacken,2025,10758
2062,Mora,2025,20419
2080,Falun,2025,59974
2081,Borlänge,2025,51354
2082,Säter,2025,11222
2083,Hedemora,2025,15025
2084,Avesta,2025,22366
2085,Ludvika,2025,26812
2101,Ockelbo,2025,5715
2104,Hofors,2025,9138
2121,Ovanåker,2025,11272
2132,Nordanstig,2025,9284
2161,Ljusdal,2025,18377
2180,Gävle,2025,104108
2181,Sandviken,2025,38033
2182,Söderhamn,2025,24163
2183,Bollnäs,2025,26018
2184,Hudiksvall,2025,37341
2260,Ånge,2025,9000
2262,Timrå,2025,17465
2280,Härnösand,2025,24348
2281,Sundsvall,2025,98962
2282,Kramfors,2025,17390
2283,Sollefteå,2025,18138
2284,Örnsköldsvik,2025,55338
2303,Ragunda,2025,5152
2305,Bräcke,2025,5950
2309,Krokom,2025,15795
2313,Strömsund,2025,10904
2321,Åre,2025,12770
2326,Berg,2025,7085
2361,Härjedalen,2025,10117
2380,Östersund,2025,64963
2401,Nordmaling,2025,6905
2403,Bjurholm,2025,2327
2404,Vindeln,2025,5421
2409,Robertsfors,2025,6595
2417,Norsjö,2025,3811
2418,Malå,2025,2902
2421,Storuman,2025,5543
2422,Sorsele,2025,2362
2425,Dorotea,2025,2241
2460,Vännäs,2025,9225
2462,Vilhelmina,2025,6172
2463,Åsele,2025,2683
2480,Umeå,2025,135273
2481,Lycksele,2025,12159
2482,Skellefteå,2025,75405
2505,Arvidsjaur,2025,6026
2506,Arjeplog,2025,2570
2510,Jokkmokk,2025,4695
2513,Överkalix,2025,3183
2514,Kalix,2025,15252
2518,Övertorneå,2025,3995
2521,Pajala,2025,5706
2523,Gällivare,2025,17135
2560,Älvsbyn,2025,7815
2580,Luleå,2025,80304
2581,Piteå,2025,42184
2582,Boden,2025,28624
2583,Haparanda,2025,9027
2584,Kiruna,2025,22402
