source_year,source_file,source_sheet,case_number,education_name,education_area,decision,municipality,county,education_credits,study_mode,study_pace_percentage,education_provider,principal_type,sun5_code,sun5_name,seqf_level,narrow_occupational_area,total_sought_places,total_granted_places,is_approved,is_distance,program_length_years,municipality_code,county_code
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3833,Vindkraftstekniker,Teknik Och Tillverkning,Beviljad,Vilhelmina,Västerbotten,300,Distans,100,"Vilhelmina Kommun, Vilhelmina Lärcentrum",Kommun,522dg,Utbildningar till vindkrafttekniker,5.0,False,105,105,True,True,1.5,2462,24
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3936,Vindkraftstekniker,Teknik Och Tillverkning,Beviljad,Nynäshamn,Stockholm,300,Distans,100,Campus Nynäshamn,Kommun,522dg,Utbildningar till vindkrafttekniker,5.0,False,100,100,True,True,1.5,0192,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4360,Montagetekniker solel,Teknik Och Tillverkning,Avslag,Stockholm,Stockholm,200,Distans,100,Alea Kompetenshöjning Ab,Privat,522dh,Utbildningar till solenergitekniker,5.0,False,105,0,False,True,1.0,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3388,Solcellsintallatör ,Teknik Och Tillverkning,Avslag,Malmö,Skåne,400,Bunden,100,Grit Academy Ab,Privat,522dh,Utbildningar till solenergitekniker,5.0,False,90,0,False,False,2.0,1280,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3459,Solcellstekniker,Teknik Och Tillverkning,Avslag,Kristianstad,Skåne,200,Distans,100,Hermods Ab Kristianstad,Privat,522dh,Utbildningar till solenergitekniker,5.0,False,140,0,False,True,1.0,1290,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4050,Solenergitekniker,Teknik Och Tillverkning,Avslag,Göteborg,Västra Götaland,300,Distans,100,Nercia Utbildning,Privat,522dh,Utbildningar till solenergitekniker,5.0,False,90,0,False,True,1.5,1480,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3780,Solenergitekniker ,Teknik Och Tillverkning,Beviljad,Malmö,Skåne,300,Distans,100,Nercia Utbildning,Privat,522dh,Utbildningar till solenergitekniker,5.0,False,150,90,True,True,1.5,1280,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4387,IOT-projektör trådlösa nät ,Teknik Och Tillverkning,Avslag,Stockholm,Stockholm,400,Distans,100,Tuc Sweden Ab - Yrkeshögskola,Privat,523ea,Utbildningar till nätplanerare,5.0,False,150,0,False,True,2.0,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3518,Fiber- och nätverkstekniker,Teknik Och Tillverkning,Beviljad,Malmö,Skåne,230,Bunden,100,Lernia Utbildning Ab,Privat,523eb,"Utbildningar till nät-, fiber- och telekomtekniker",5.0,False,105,90,True,False,1.2,1280,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3414,El- och Elektronikmontör,Teknik Och Tillverkning,Avslag,Örnsköldsvik,Västernorrland,100,Distans,100,"Ith, Institutet För Tillämpad Hydraulik",Privat,523ef,Utbildningar till elektroniktekniker,,False,100,0,False,True,0.5,2284,22
